orfid	yORF	gene name	GFP tagged?	GFP visualized?	TAP visualized?	abundance	error	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
593	YAL021C	CCR4	tagged	visualized	TAP visualized	2780	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5427	YAL023C	PMT2	tagged	visualized	TAP visualized	6510	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
106	YAL024C	LTE1	tagged	visualized	TAP visualized	304	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5262	YAL026C	DRS2	tagged	visualized	TAP visualized	606	NA	early Golgi,late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	T	F	F	F		
3363	YAL027W		tagged	visualized	TAP visualized	1170	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
94	YAL029C	MYO4	tagged	visualized	TAP visualized	2210	NA	ambiguous,bud neck,cytoplasm,cell periphery,bud	T	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T		
749	YAL031C	FUN21	tagged	visualized	TAP visualized	227	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2447	YAL032C	PRP45	tagged	visualized	TAP visualized	1670	201.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4082	YAL033W	POP5	tagged	visualized	TAP visualized	2230	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3161	YAL034W-A	MTW1	tagged	visualized	TAP visualized	2610	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
371	YAL035W	FUN12	tagged	visualized	TAP visualized	13400	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2515	YAL036C	FUN11	tagged	visualized	TAP visualized	11700	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1693	YAL038W	CDC19	tagged	visualized	TAP visualized	291000	24100.0	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
6030	YAL039C	CYC3	tagged	visualized	TAP visualized	3870	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
562	YAL041W	CDC24	tagged	visualized	TAP visualized	1010	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
699	YAL043C	PTA1	tagged	visualized	TAP visualized	3730	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4047	YAL044C	GCV3	tagged	visualized	TAP visualized	3510	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1148	YAL047C	SPC72	tagged	visualized	TAP visualized	639	NA	spindle pole	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3488	YAL049C		tagged	visualized	TAP visualized	1800	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5408	YAL053W		tagged	visualized	TAP visualized	414	NA	ambiguous,bud neck,cell periphery,punctate composite,late Golgi,bud	T	F	F	F	T	T	F	F	F	F	T	F	F	T	F	F	F	F	F	F	F	F	T		
853	YAL054C	ACS1	tagged	visualized	TAP visualized	2890	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4026	YAL055W	PEX22	tagged	visualized	TAP visualized	259	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
574	YAL056W	GPB2	tagged	visualized	TAP visualized	low signal	NA	cytoplasm,mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5702	YAL058W	CNE1	tagged	visualized	TAP visualized	4760	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6104	YAL059W	ECM1	tagged	visualized	TAP visualized	2840	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
2422	YAL060W	BDH1	tagged	visualized	TAP visualized	8730	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2203	YAL061W		tagged	visualized	TAP visualized	3090	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
6087	YAR002C-A	ERP1	tagged	visualized	TAP visualized	20700	NA	vacuolar membrane	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5657	YAR002W	NUP60	tagged	visualized	TAP visualized	4590	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2159	YAR003W	SWD1	tagged	visualized	TAP visualized	907	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1154	YAR007C	RFA1	tagged	visualized	TAP visualized	4100	486.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
203	YAR009C		tagged	visualized	TAP visualized	2220	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
889	YAR014C	BUD14	tagged	visualized	TAP visualized	538	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3012	YAR015W	ADE1	tagged	visualized	TAP visualized	4280	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
392	YAR019C	CDC15	tagged	visualized	TAP visualized	238	NA	ambiguous,spindle pole	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6059	YAR027W	UIP3	tagged	visualized	TAP visualized	1690	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
6061	YAR028W		tagged	visualized	TAP visualized	1840	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
555	YAR044W	OSH1	tagged	visualized	TAP visualized	846	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1876	YAR071W	PHO11	tagged	visualized	TAP visualized	1460	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
4945	YBL001C	ECM15	tagged	visualized	TAP visualized	1900	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4467	YBL002W	HTB2	tagged	visualized	TAP visualized	443000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4454	YBL003C	HTA2	tagged	visualized	TAP visualized	32100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
5218	YBL004W	UTP20	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm,nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	T	F	F	F	F	F		
389	YBL005W	PDR3	tagged	visualized	TAP visualized	166	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
174	YBL007C	SLA1	tagged	visualized	TAP visualized	952	NA	cytoplasm,actin	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	T	F	F	F	F	F		
586	YBL008W	HIR1	tagged	visualized	TAP visualized	846	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3224	YBL010C		tagged	visualized	TAP visualized	1320	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F		
5424	YBL011W	SCT1	tagged	visualized	TAP visualized	1050	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2358	YBL013W	FMT1	tagged	visualized	TAP visualized	1070	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
496	YBL014C	RRN6	tagged	visualized	TAP visualized	237	36.3	cytoplasm,nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	T	F	F	F	F	F		
1547	YBL015W	ACH1	tagged	visualized	TAP visualized	4890	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2636	YBL016W	FUS3	tagged	visualized	TAP visualized	8480	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5241	YBL017C	PEP1	tagged	visualized	TAP visualized	7210	NA	punctate composite,endosome	F	F	F	F	F	T	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F		
4200	YBL018C	POP8	tagged	visualized	TAP visualized	4870	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1585	YBL019W	APN2	tagged	visualized	TAP visualized	414	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4338	YBL021C	HAP3	tagged	visualized	TAP visualized	2510	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5289	YBL022C	PIM1	tagged	visualized	TAP visualized	14500	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
539	YBL023C	MCM2	tagged	visualized	TAP visualized	1690	261.0	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
948	YBL024W	NCL1	tagged	visualized	TAP visualized	16100	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4328	YBL025W	RRN10	tagged	visualized	TAP visualized	low signal	NA	nucleolus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F		
4407	YBL026W	LSM2	tagged	visualized	TAP visualized	2210	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
2918	YBL027W	RPL19B	tagged	visualized	TAP visualized	225000	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
4908	YBL028C		tagged	visualized	TAP visualized	6210	NA	nucleolus,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	T	F		
5073	YBL029C-A		tagged	visualized	TAP visualized	996	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2459	YBL029W		tagged	visualized	TAP visualized	low signal	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
2763	YBL031W	SHE1	tagged	visualized	TAP visualized	264	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F		
2429	YBL032W	HEK2	tagged	visualized	TAP visualized	15600	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2696	YBL033C	RIB1	tagged	visualized	TAP visualized	9520	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
85	YBL034C	STU1	tagged	visualized	TAP visualized	521	NA	ambiguous,spindle pole	T	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
877	YBL035C	POL12	tagged	visualized	TAP visualized	11200	1700.0	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3396	YBL036C		tagged	visualized	TAP visualized	4890	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
352	YBL037W	APL3	tagged	visualized	TAP visualized	1590	NA	bud neck,cell periphery	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F		
3606	YBL038W	MRPL16	tagged	visualized	TAP visualized	2880	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1313	YBL039C	URA7	tagged	visualized	TAP visualized	57600	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
6042	YBL040C	ERD2	tagged	visualized	TAP visualized	low signal	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5503	YBL042C	FUI1	tagged	visualized	TAP visualized	low signal	NA	cell periphery,bud	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T		
5755	YBL045C	COR1	tagged	visualized	TAP visualized	19300	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2055	YBL046W		tagged	visualized	TAP visualized	1010	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
126	YBL047C	EDE1	tagged	visualized	TAP visualized	1380	NA	punctate composite	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
991	YBL051C	PIN4	tagged	visualized	TAP visualized	4630	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
606	YBL052C	SAS3	tagged	visualized	TAP visualized	low signal	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1555	YBL054W		tagged	visualized	TAP visualized	830	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
2200	YBL055C		tagged	visualized	TAP visualized	1460	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
1870	YBL056W	PTC3	tagged	visualized	TAP visualized	19700	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3740	YBL057C	PTH2	tagged	visualized	TAP visualized	2190	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2172	YBL058W	SHP1	tagged	visualized	TAP visualized	3200	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
4408	YBL059C-A		tagged	visualized	TAP visualized	279	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3721	YBL059W		tagged	visualized	TAP visualized	623	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
934	YBL060W		tagged	visualized	TAP visualized	low signal	NA	bud neck,cytoplasm	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	F		
5462	YBL061C	SKT5	tagged	visualized	TAP visualized	2580	NA	bud neck,cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	T	F		
266	YBL063W	KIP1	tagged	visualized	TAP visualized	56.9	NA	microtubule	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F		
3364	YBL064C	PRX1	tagged	visualized	TAP visualized	4510	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
926	YBL067C	UBP13	tagged	visualized	TAP visualized	125	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2622	YBL068W	PRS4	tagged	visualized	TAP visualized	5280	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5912	YBL069W	AST1	tagged	visualized	not TAP visualized	not visualized	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5119	YBL071W-A	KTI11	tagged	visualized	TAP visualized	8400	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3864	YBL072C	RPS8A	tagged	visualized	TAP visualized	15900	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2623	YBL074C	AAR2	tagged	visualized	TAP visualized	7330	500.0	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
1048	YBL075C	SSA3	tagged	visualized	TAP visualized	6440	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
308	YBL076C	ILS1	tagged	visualized	TAP visualized	23300	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5251	YBL079W	NUP170	tagged	visualized	TAP visualized	1560	NA	nuclear periphery	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1492	YBL080C	PET112	tagged	visualized	TAP visualized	1390	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1939	YBL082C	RHK1	tagged	visualized	TAP visualized	technical problem	NA	cytoplasm,vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
753	YBL084C	CDC27	tagged	visualized	TAP visualized	593	88.0	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
386	YBL085W	BOI1	tagged	visualized	TAP visualized	1040	NA	bud neck,cytoplasm,cell periphery,bud	F	F	F	F	T	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T		
1888	YBL086C		tagged	visualized	TAP visualized	396	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3021	YBL087C	RPL23A	tagged	visualized	not TAP visualized	not visualized	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4048	YBL090W	MRP21	tagged	visualized	TAP visualized	1270	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
2186	YBL091C	MAP2	tagged	visualized	TAP visualized	1080	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3691	YBL093C	ROX3	tagged	visualized	TAP visualized	6120	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3308	YBL095W		tagged	visualized	TAP visualized	704	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
823	YBL097W	BRN1	tagged	visualized	TAP visualized	704	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
1925	YBL098W	BNA4	tagged	visualized	TAP visualized	556	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5645	YBL099W	ATP1	tagged	visualized	TAP visualized	41500	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
259	YBL101C	ECM21	tagged	visualized	TAP visualized	799	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
6097	YBL102W	SFT2	tagged	visualized	TAP visualized	279	NA	early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F		
1770	YBL103C	RTG3	tagged	visualized	TAP visualized	1050	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
450	YBL104C		tagged	visualized	TAP visualized	184	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
228	YBL105C	PKC1	tagged	visualized	not TAP visualized	not visualized	NA	ambiguous,bud neck,cytoplasm,bud	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T		
3907	YBL107C		tagged	visualized	TAP visualized	768	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
895	YBL111C		tagged	visualized	TAP visualized	279	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
705	YBR001C	NTH2	tagged	visualized	TAP visualized	2500	NA	cytoplasm,mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5999	YBR002C	RER2	tagged	visualized	TAP visualized	8970	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5737	YBR003W	COQ1	tagged	visualized	TAP visualized	1560	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3747	YBR005W		tagged	visualized	not TAP visualized	not visualized	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1709	YBR006W	UGA2	tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
803	YBR007C		tagged	visualized	TAP visualized	377	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5635	YBR008C	FLR1	tagged	visualized	not TAP visualized	not visualized	NA	cell periphery,vacuole	F	F	T	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
4969	YBR009C	HHF1	tagged	visualized	TAP visualized	524000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
4418	YBR010W	HHT1	tagged	visualized	TAP visualized	213000	NA	nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F		
3173	YBR011C	IPP1	tagged	visualized	TAP visualized	68400	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
3831	YBR014C		tagged	visualized	not TAP visualized	not visualized	NA	vacuole	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5562	YBR015C	MNN2	tagged	visualized	TAP visualized	6730	NA	Golgi	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F		
4521	YBR016W		tagged	visualized	TAP visualized	1760	NA	cell periphery	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
460	YBR017C	KAP104	tagged	visualized	TAP visualized	2130	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
5284	YBR023C	CHS3	tagged	visualized	TAP visualized	1510	NA	late Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F		
2347	YBR025C		tagged	visualized	TAP visualized	36800	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
2439	YBR026C	ETR1	tagged	visualized	TAP visualized	1560	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
