yORF	gene name	GFP tagged?	GFP visualized?	abundance	localization summary	
YPL259C	APM1	tagged	visualized	4420	late Golgi	
YDR033W	MRH1	tagged	visualized	182000	cell periphery,bud	
YLR194C		tagged	visualized	688	ER	
YDR132C		tagged	visualized	172	cytoplasm,nucleus	
YMR179W	SPT21	tagged	visualized	low signal	nucleus	
YGR200C	ELP2	tagged	visualized	6090	cytoplasm	
YBR015C	MNN2	tagged	visualized	6730	Golgi	
YMR060C	TOM37	tagged	visualized	1580	mitochondrion	
YOR058C	ASE1	tagged	visualized	556	microtubule	
YPR135W	CTF4	tagged	visualized	3280	nucleus	
YOR341W	RPA190	tagged	visualized	2840	nucleolus	
YHR143W-A	RPC10	tagged	visualized	907	cytoplasm,nucleolus	
YKL023W		tagged	visualized	1730	cytoplasm	
YHR007C	ERG11	tagged	visualized	73200	ER	
YIL046W	MET30	tagged	visualized	217	cytoplasm,nucleus	
YBR067C	TIP1	tagged	visualized	35600	ER	
YPL232W	SSO1	tagged	visualized	450	lipid particle	
YIL069C	RPS24B	tagged	visualized	6160	cytoplasm	
YMR031C		tagged	visualized	5570	punctate composite	
YCL016C	DCC1	tagged	visualized	1660	nucleus	
YDR194C	MSS116	tagged	visualized	10300	mitochondrion	
YNL156C	YIG2	tagged	visualized	3390	ER	
YER112W	LSM4	tagged	visualized	3440	cytoplasm,nucleus	
YML098W	TAF13	tagged	visualized	2080	cytoplasm,nucleus	
YJL012C-A		tagged	visualized	8710	ER	
YDR069C	DOA4	tagged	visualized	428	ambiguous,endosome	
YKR090W	PXL1	tagged	visualized	1310	ambiguous,bud neck,cytoplasm,cell periphery,bud	
YOR346W	REV1	tagged	visualized	521	cytoplasm,nucleus	
YOL102C	TPT1	tagged	visualized	672	cytoplasm	
YLR342W	FKS1	tagged	visualized	technical problem	vacuole	
YIL104C	SHQ1	tagged	visualized	7060	nucleus	
YBR233W-A	DAD3	tagged	visualized	468	spindle pole	
YER063W	THO1	tagged	visualized	6580	nucleus	
YER013W	PRP22	tagged	visualized	907	cytoplasm,nucleus	
YNL001W	DOM34	tagged	visualized	1720	cytoplasm	
YIL037C	PRM2	tagged	visualized	not visualized	vacuole	
YER128W		tagged	visualized	967	ambiguous	
YER033C	ZRG8	tagged	visualized	not visualized	cytoplasm	
YBR236C	ABD1	tagged	visualized	not visualized	nucleus	
YDR184C	ATC1	tagged	visualized	846	cytoplasm,nucleus	
YLR401C	DUS3	tagged	visualized	3630	cytoplasm,nucleus	
YDL159W	STE7	tagged	visualized	672	cytoplasm	
YKR021W		tagged	visualized	414	cytoplasm	
YDR067C		tagged	visualized	low signal	cytoplasm	
YER044C	ERG28	tagged	visualized	377	ER	
YBR111C	YSA1	tagged	visualized	7330	cytoplasm,nucleus	
YER025W	GCD11	tagged	visualized	20800	cytoplasm	
YHR197W	RIX1	tagged	visualized	7820	nucleus	
YIR023W	DAL81	tagged	visualized	704	nucleus	
YLR360W	VPS38	tagged	visualized	1070	endosome	
YCR033W	SNT1	tagged	visualized	396	nucleus	
YLR197W	SIK1	tagged	visualized	13500	nucleolus	
YJR025C	BNA1	tagged	visualized	2330	cytoplasm,nucleus	
YAL024C	LTE1	tagged	visualized	304	cytoplasm	
YNL067W	RPL9B	tagged	visualized	76000	cytoplasm	
YMR113W	FOL3	tagged	visualized	2340	cytoplasm	
YOR098C	NUP1	tagged	visualized	468	nuclear periphery	
YLR300W	EXG1	tagged	visualized	4280	vacuole	
