orfid	yORF	gene name	GFP tagged?	GFP visualized?	abundance	error	
398	YIR023W	DAL81	tagged	visualized	704	NA	
5776	YLR360W	VPS38	tagged	visualized	1070	NA	
188	YCR033W	SNT1	tagged	visualized	396	NA	
1672	YLR197W	SIK1	tagged	visualized	13500	5780.0	
4050	YJR025C	BNA1	tagged	visualized	2330	NA	
106	YAL024C	LTE1	tagged	visualized	304	NA	
3951	YNL067W	RPL9B	tagged	visualized	76000	NA	
2158	YMR113W	FOL3	tagged	visualized	2340	NA	
5301	YOR098C	NUP1	tagged	visualized	468	NA	
2014	YLR300W	EXG1	tagged	visualized	4280	NA	
1899	YPR178W	PRP4	tagged	visualized	1770	271.0	
1037	YDR389W	SAC7	tagged	visualized	1420	NA	
5255	YOR291W		tagged	visualized	technical problem	NA	
3874	YPR172W		tagged	visualized	358	NA	
2310	YHR179W	OYE2	tagged	visualized	15100	NA	
6086	YJL024C	APS3	tagged	visualized	1240	NA	
1262	YIL172C		tagged	visualized	166	NA	
1492	YBL080C	PET112	tagged	visualized	1390	NA	
5964	YBR085W	AAC3	tagged	visualized	1080	NA	
5337	YMR266W	RSN1	tagged	visualized	low signal	NA	
5719	YBR283C	SSH1	tagged	visualized	704	NA	
2809	YGR192C	TDH3	tagged	visualized	169000	NA	
6021	YGR120C	COG2	tagged	visualized	3270	NA	
4952	YDR281C	PHM6	tagged	visualized	not visualized	NA	
1233	YKL032C	IXR1	tagged	visualized	low signal	NA	
628	YOR322C		tagged	visualized	295	NA	
1848	YLR034C	SMF3	tagged	visualized	low signal	NA	
822	YPR141C	KAR3	tagged	visualized	3250	NA	
563	YDL040C	NAT1	tagged	visualized	7600	NA	
1933	YGL130W	CEG1	tagged	visualized	279	NA	
1589	YER073W	ALD5	tagged	visualized	23300	NA	
2570	YKL042W	SPC42	tagged	visualized	not visualized	NA	
2748	YHR156C	LIN1	tagged	visualized	799	NA	
2455	YDL188C	PPH22	tagged	visualized	4110	NA	
9	YLR454W		tagged	visualized	1360	NA	
2179	YOL126C	MDH2	tagged	visualized	5260	NA	
660	YGL083W	SCY1	tagged	visualized	1480	NA	
253	YER176W	ECM32	tagged	visualized	736	NA	
6066	YLL060C	GTT2	tagged	visualized	low signal	NA	
2501	YIL094C	LYS12	tagged	visualized	19100	NA	
5825	YJR075W	HOC1	tagged	visualized	7160	NA	
3529	YBR090C		tagged	visualized	not visualized	NA	
5899	YDR265W	PEX10	tagged	visualized	not visualized	NA	
1834	YGR117C		tagged	visualized	1280	NA	
1913	YDL036C		tagged	visualized	639	NA	
3224	YBL010C		tagged	visualized	1320	NA	
840	YMR192W	APP2	tagged	visualized	2010	NA	
2878	YOL094C	RFC4	tagged	visualized	2760	NA	
2288	YNR021W		tagged	visualized	34900	NA	
986	YLR427W	MAG2	tagged	visualized	922	NA	
3123	YLR091W		tagged	visualized	low signal	NA	
725	YLR131C	ACE2	tagged	visualized	538	NA	
3022	YDR280W	RRP45	tagged	visualized	4800	NA	
5443	YDL116W	NUP84	tagged	visualized	8580	NA	
3821	YKR035W-A	DID2	tagged	visualized	2440	NA	
2832	YDR044W	HEM13	tagged	visualized	22000	3430.0	
2066	YDR527W		tagged	visualized	688	NA	
351	YLR187W		tagged	visualized	low signal	NA	
1817	YGR255C	COQ6	tagged	visualized	2940	NA	
1869	YLR058C	SHM2	tagged	visualized	67600	NA	
414	YGL227W	VID30	tagged	visualized	1500	NA	
5286	YKR082W	NUP133	tagged	visualized	3060	NA	
2906	YIR011C	STS1	tagged	visualized	2120	NA	
1624	YML128C	MSC1	tagged	visualized	1070	NA	
5321	YHR027C	RPN1	tagged	visualized	306000	NA	
6009	YPL094C	SEC62	tagged	visualized	16500	NA	
4066	YDR469W	SDC1	tagged	visualized	937	NA	
2572	YLR141W	RRN5	tagged	visualized	low signal	NA	
203	YAR009C		tagged	visualized	2220	NA	
482	YPL150W		tagged	visualized	low signal	NA	
1506	YBR103W	SIF2	tagged	visualized	1620	NA	
1052	YML082W		tagged	visualized	2810	NA	
6193	YDR519W	FPR2	tagged	visualized	5400	NA	
2369	YNR048W		tagged	visualized	4510	NA	
594	YLL034C		tagged	visualized	4490	NA	
140	YLR384C	IKI3	tagged	visualized	10500	NA	
3515	YHR049W	FSH1	tagged	visualized	14600	NA	
4413	YKL049C	CSE4	tagged	visualized	not visualized	NA	
1932	YPL139C	UME1	tagged	visualized	3040	NA	
3728	YPL233W	NSL1	tagged	visualized	3710	NA	
1687	YBR056W		tagged	visualized	1960	NA	
5349	YGL008C	PMA1	tagged	visualized	1260000	NA	
2646	YKR070W		tagged	visualized	3870	NA	
284	YDL215C	GDH2	tagged	visualized	7400	NA	
1999	YOR221C	MCT1	tagged	visualized	1360	NA	
3285	YDR099W	BMH2	tagged	visualized	47600	NA	
1184	YPL194W	DDC1	tagged	visualized	238	NA	
2587	YFR046C		tagged	visualized	1300	NA	
5504	YHR117W	TOM71	tagged	visualized	4110	NA	
2357	YPL112C	PEX25	tagged	visualized	2420	NA	
4366	YLR245C	CDD1	tagged	visualized	3120	NA	
548	YMR165C	SMP2	tagged	visualized	3910	NA	
3806	YPL229W		tagged	visualized	922	NA	
2717	YLR375W	STP3	tagged	visualized	1240	NA	
921	YPR175W	DPB2	tagged	visualized	3110	251.0	
1296	YOL115W	TRF4	tagged	visualized	7550	NA	
6221	YGR105W	VMA21	tagged	visualized	1480	NA	
969	YMR104C	YPK2	tagged	visualized	1310	NA	
1347	YPR137W	RRP9	tagged	visualized	5130	NA	
1572	YHR086W	NAM8	tagged	visualized	1480	NA	
2776	YDR392W	SPT3	tagged	visualized	1710	NA	
1443	YBR030W		tagged	visualized	7880	NA	
4169	YBR120C	CBP6	tagged	visualized	2130	NA	
3399	YJL043W		tagged	visualized	not visualized	NA	
5581	YGL186C	TPN1	tagged	visualized	not visualized	NA	
26	YJL207C		tagged	visualized	300	NA	
5132	YOR304C-A		tagged	visualized	656	NA	
154	YOR296W		tagged	visualized	300	NA	
3206	YGL240W	DOC1	tagged	visualized	1360	NA	
498	YLR382C	NAM2	tagged	visualized	2120	NA	
2849	YBR048W	RPS11B	tagged	visualized	1200	NA	
4765	YHR138C		tagged	visualized	319	NA	
5107	YBR085C-A		tagged	visualized	not visualized	NA	
1328	YIR010W	DSN1	tagged	visualized	1310	NA	
5460	YIL005W	EPS1	tagged	visualized	6020	NA	
661	YBR058C	UBP14	tagged	visualized	3040	NA	
3036	YBR231C	AOR1	tagged	visualized	1680	NA	
1609	YJL013C	MAD3	tagged	visualized	3170	NA	
709	YGL009C	LEU1	tagged	visualized	96300	NA	
5842	YML008C	ERG6	tagged	visualized	53800	NA	
1019	YML056C	IMD4	tagged	visualized	2970	NA	
5762	YBR110W	ALG1	tagged	visualized	1890	NA	
3183	YMR043W	MCM1	tagged	visualized	8970	NA	
3743	YHR105W	YPT35	tagged	visualized	not visualized	NA	
1131	YKL125W	RRN3	tagged	visualized	138	29.5	
5705	YEL036C	ANP1	tagged	visualized	not visualized	NA	
270	YGR094W	VAS1	tagged	visualized	358	NA	
4258	YEL048C		tagged	visualized	8660	NA	
4079	YHR193C	EGD2	tagged	visualized	38000	NA	
3558	YHR013C	ARD1	tagged	visualized	3310	NA	
2534	YDR322W	MRPL35	tagged	visualized	7700	NA	
6118	YJR073C	OPI3	tagged	visualized	5890	NA	
5653	YMR011W	HXT2	tagged	visualized	technical problem	NA	
872	YJR134C	SGM1	tagged	visualized	300	NA	
531	YML034W	SRC1	tagged	visualized	2100	NA	
6179	YNL052W	COX5A	tagged	visualized	3670	NA	
5244	YLL015W	BPT1	tagged	visualized	technical problem	NA	
3238	YJR116W		tagged	visualized	technical problem	NA	
611	YBR133C	HSL7	tagged	visualized	1180	NA	
1103	YHR114W	BZZ1	tagged	visualized	5440	NA	
3354	YIL093C	RSM25	tagged	visualized	1920	NA	
4994	YGR063C	SPT4	tagged	visualized	4490	NA	
3499	YGL250W		tagged	visualized	1820	NA	
6020	YIR014W		tagged	visualized	low signal	NA	
2227	YGR159C	NSR1	tagged	visualized	77400	NA	
1391	YGR087C	PDC6	tagged	visualized	1520	NA	
3905	YMR295C		tagged	visualized	10800	NA	
1522	YMR297W	PRC1	tagged	visualized	44000	NA	
3008	YKR075C		tagged	visualized	1960	NA	
4153	YPL135W	ISU1	tagged	visualized	10800	NA	
40	YPL082C	MOT1	tagged	visualized	6560	NA	
4325	YOR224C	RPB8	tagged	visualized	6210	NA	
1459	YBR158W	AMN1	tagged	visualized	2020	NA	
3092	YDL173W		tagged	visualized	1140	NA	
1702	YFL018C	LPD1	tagged	visualized	24600	NA	
791	YCL039W	GID7	tagged	visualized	1200	NA	
5488	YOR273C	TPO4	tagged	visualized	21400	NA	
3255	YOL088C	MPD2	tagged	visualized	1520	NA	
5090	YOL159C-A		tagged	visualized	125	NA	
2663	YLR426W		tagged	visualized	2130	NA	
