yORF	gene name	GFP tagged?	GFP visualized?	localization summary	
YHR040W	BCD1	tagged	visualized	cytoplasm,nucleus	
YDL144C		tagged	visualized	cytoplasm,nucleus	
YKL139W	CTK1	tagged	visualized	cytoplasm,nucleus	
YDR073W	SNF11	tagged	visualized	nucleus	
YNL042W	BOP3	tagged	visualized	cytoplasm,nucleus	
YBR215W	HPC2	tagged	visualized	nucleus	
YHR074W	QNS1	tagged	visualized	cytoplasm,nucleus	
YJL169W		tagged	visualized	cytoplasm,nucleus	
YNL007C	SIS1	tagged	visualized	cytoplasm,nucleus	
YMR001C	CDC5	tagged	visualized	bud neck,nucleus	
YDR510W	SMT3	tagged	visualized	cytoplasm,nucleus	
YNL061W	NOP2	tagged	visualized	nucleolus,nucleus	
YDR372C	VPS74	tagged	visualized	cytoplasm,nucleus	
YER156C		tagged	visualized	cytoplasm,nucleus	
YPR144C	NOC4	tagged	visualized	nucleus	
YOR217W	RFC1	tagged	visualized	nucleus	
YAL015C	NTG1	tagged	visualized	cytoplasm,nucleus	
YMR276W	DSK2	tagged	visualized	cytoplasm,nucleus	
YPR052C	NHP6A	tagged	visualized	nucleus	
YLR132C		tagged	visualized	cytoplasm,mitochondrion,nucleus	
YFR031C	SMC2	tagged	visualized	cytoplasm,nucleus	
YHR030C	SLT2	tagged	visualized	cytoplasm,nucleus	
YGL112C	TAF6	tagged	visualized	nucleus	
YDR363W-A	SEM1	tagged	visualized	nucleus	
YMR178W		tagged	visualized	cytoplasm,nucleus	
YLR409C	UTP21	tagged	visualized	nucleus	
YBR107C	IML3	tagged	visualized	nucleus,spindle pole	
YJR130C	STR2	tagged	visualized	cytoplasm,nucleus	
YGL091C	NBP35	tagged	visualized	cytoplasm,nucleus	
YJR070C		tagged	visualized	cytoplasm,nucleus	
YBR046C	ZTA1	tagged	visualized	cytoplasm,nucleus	
YDL132W	CDC53	tagged	visualized	cytoplasm,nucleus	
YMR199W	CLN1	tagged	visualized	cytoplasm,nucleus	
YGL082W		tagged	visualized	cytoplasm,nucleus	
YJL203W	PRP21	tagged	visualized	nucleus	
YPL075W	GCR1	tagged	visualized	cytoplasm,nucleus	
YDR310C	SUM1	tagged	visualized	nucleus	
YOR131C		tagged	visualized	cytoplasm,nucleus	
YBR279W	PAF1	tagged	visualized	nucleus	
YPL208W		tagged	visualized	cytoplasm,nucleus	
YML053C		tagged	visualized	cytoplasm,nucleus	
YER028C	MIG3	tagged	visualized	cytoplasm,nucleus	
YNL186W	UBP10	tagged	visualized	cytoplasm,nucleus	
YML051W	GAL80	tagged	visualized	cytoplasm,nucleus	
YLR106C	MDN1	tagged	visualized	cytoplasm,nucleus	
YLR117C	CLF1	tagged	visualized	nucleus	
YDR364C	CDC40	tagged	visualized	cytoplasm,nucleus	
YJL065C		tagged	visualized	nucleus	
YDL134C	PPH21	tagged	visualized	cytoplasm,nucleus	
YGR248W	SOL4	tagged	visualized	cytoplasm,nucleus	
YIR002C	MPH1	tagged	visualized	cytoplasm,nucleus	
YMR311C	GLC8	tagged	visualized	cytoplasm,nucleus	
YGR075C	PRP38	tagged	visualized	nucleus	
YDL098C	SNU23	tagged	visualized	nucleus	
YHR201C	PPX1	tagged	visualized	cytoplasm,nucleus	
YJL143W	TIM17	tagged	visualized	cytoplasm,nucleus	
YDR161W	TCI1	tagged	visualized	cytoplasm,nucleus	
YGR203W		tagged	visualized	cytoplasm,nucleus	
YBR119W	MUD1	tagged	visualized	nucleus	
YDL170W	UGA3	tagged	visualized	nucleus	
YPL111W	CAR1	tagged	visualized	cytoplasm,nucleus	
YDR181C	SAS4	tagged	visualized	ambiguous,cytoplasm,nucleus	
YOL067C	RTG1	tagged	visualized	cytoplasm,nucleus	
YBR247C	ENP1	tagged	visualized	cytoplasm,nucleolus,nucleus	
YDR132C		tagged	visualized	cytoplasm,nucleus	
YMR179W	SPT21	tagged	visualized	nucleus	
YOR151C	RPB2	tagged	visualized	cytoplasm,nucleus	
YIL020C	HIS6	tagged	visualized	cytoplasm,nucleus	
YOL090W	MSH2	tagged	visualized	nucleus	
YPR135W	CTF4	tagged	visualized	nucleus	
YNL062C	GCD10	tagged	visualized	nucleus	
YMR105C	PGM2	tagged	visualized	cytoplasm,nucleus	
YBL029W		tagged	visualized	cytoplasm,nucleus	
YOR179C		tagged	visualized	nucleus	
YNL307C	MCK1	tagged	visualized	cytoplasm,nucleus	
YIL046W	MET30	tagged	visualized	cytoplasm,nucleus	
YBL028C		tagged	visualized	nucleolus,nucleus	
YNL223W	AUT2	tagged	visualized	cytoplasm,nucleus	
YIL033C	BCY1	tagged	visualized	cytoplasm,nucleus	
YPR069C	SPE3	tagged	visualized	cytoplasm,nucleus	
YNL141W	AAH1	tagged	visualized	cytoplasm,nucleus	
YBR252W	DUT1	tagged	visualized	cytoplasm,nucleus	
YGR007W	MUQ1	tagged	visualized	cytoplasm,nucleus	
YDR257C	RMS1	tagged	visualized	nucleus	
YBR034C	HMT1	tagged	visualized	cytoplasm,nucleus	
YER169W	RPH1	tagged	visualized	nucleus	
YCL016C	DCC1	tagged	visualized	nucleus	
YPL055C	LGE1	tagged	visualized	nucleus	
YGL163C	RAD54	tagged	visualized	cytoplasm,nucleus	
YPL061W	ALD6	tagged	visualized	cytoplasm,nucleus	
YLR265C	NEJ1	tagged	visualized	cytoplasm,nucleus	
YLR298C	YHC1	tagged	visualized	nucleus	
YER112W	LSM4	tagged	visualized	cytoplasm,nucleus	
YJR035W	RAD26	tagged	visualized	cytoplasm,nucleus	
YJR082C	EAF6	tagged	visualized	nucleus	
YML098W	TAF13	tagged	visualized	cytoplasm,nucleus	
YLR109W	AHP1	tagged	visualized	cytoplasm,nucleus	
YMR318C	ADH6	tagged	visualized	cytoplasm,nucleus	
YHR194W	MDM31	tagged	visualized	nucleus	
YJL001W	PRE3	tagged	visualized	nucleus	
YHR200W	RPN10	tagged	visualized	cytoplasm,nucleus	
YIL021W	RPB3	tagged	visualized	nucleus	
YLR052W	IES3	tagged	visualized	nucleus	
YPR070W	MED1	tagged	visualized	nucleus	
YOR346W	REV1	tagged	visualized	cytoplasm,nucleus	
YDR443C	SSN2	tagged	visualized	cytoplasm,nucleus	
YIL104C	SHQ1	tagged	visualized	nucleus	
YGL040C	HEM2	tagged	visualized	cytoplasm,nucleus	
YJR127C	ZMS1	tagged	visualized	nucleus	
YDR461W	MFA1	tagged	visualized	cytoplasm,nucleus	
YDL233W		tagged	visualized	cytoplasm,nucleus	
YER063W	THO1	tagged	visualized	nucleus	
YPR161C	SGV1	tagged	visualized	nucleus	
YER167W	BCK2	tagged	visualized	cytoplasm,nucleus	
YAL011W	SWC1	tagged	visualized	nucleus	
YER013W	PRP22	tagged	visualized	cytoplasm,nucleus	
YDL002C	NHP10	tagged	visualized	nucleus	
YJR056C		tagged	visualized	cytoplasm,nucleus	
YGL058W	RAD6	tagged	visualized	cytoplasm,nucleus	
YDL021W	GPM2	tagged	visualized	cytoplasm,nucleus	
YFL013C	IES1	tagged	visualized	nucleus	
YBR236C	ABD1	tagged	visualized	nucleus	
YER031C	YPT31	tagged	visualized	cytoplasm,nucleus	
YER092W	IES5	tagged	visualized	nucleus	
YDR184C	ATC1	tagged	visualized	cytoplasm,nucleus	
YFR037C	RSC8	tagged	visualized	nucleus	
YJR146W		tagged	visualized	cytoplasm,nucleus	
YLR401C	DUS3	tagged	visualized	cytoplasm,nucleus	
YGR010W	NMA2	tagged	visualized	cytoplasm,nucleus	
YJL168C	SET2	tagged	visualized	nucleus	
YAL027W		tagged	visualized	nucleus	
YNL108C		tagged	visualized	cytoplasm,nucleus	
YBR111C	YSA1	tagged	visualized	cytoplasm,nucleus	
YLL022C	HIF1	tagged	visualized	nucleus	
YHR197W	RIX1	tagged	visualized	nucleus	
YIR023W	DAL81	tagged	visualized	nucleus	
YCR033W	SNT1	tagged	visualized	nucleus	
YGR008C	STF2	tagged	visualized	cytoplasm,nucleus	
YPL024W	NCE4	tagged	visualized	cytoplasm,nucleus	
YOL030W	GAS5	tagged	visualized	ER,nucleus	
YER163C		tagged	visualized	cytoplasm,nucleus	
YJR068W	RFC2	tagged	visualized	nucleus	
YJR025C	BNA1	tagged	visualized	cytoplasm,nucleus	
YNL155W		tagged	visualized	cytoplasm,nucleus	
YML095C	RAD10	tagged	visualized	cytoplasm,nucleus	
YPR178W	PRP4	tagged	visualized	cytoplasm,nucleus	
YGL155W	CDC43	tagged	visualized	cytoplasm,nucleus	
YHR047C	AAP1'	tagged	visualized	cytoplasm,nucleus	
YIL153W	RRD1	tagged	visualized	cytoplasm,nucleus	
YKL112W	ABF1	tagged	visualized	nucleus	
YHR179W	OYE2	tagged	visualized	cytoplasm,nucleus	
YPR172W		tagged	visualized	cytoplasm,nucleus	
YBL019W	APN2	tagged	visualized	cytoplasm,nucleus	
YKR074W		tagged	visualized	ambiguous,cytoplasm,nucleus	
YDR097C	MSH6	tagged	visualized	nucleus	
YGL166W	CUP2	tagged	visualized	cytoplasm,nucleus	
YOR162C	YRR1	tagged	visualized	cytoplasm,nucleus	
YOL077C	BRX1	tagged	visualized	nucleolus,nucleus	
YOR191W	RIS1	tagged	visualized	nucleus	
YDR305C	HNT2	tagged	visualized	cytoplasm,mitochondrion,nucleus	
YER116C	SLX8	tagged	visualized	cytoplasm,nucleus	
YNR024W		tagged	visualized	nucleus	
YKR014C	YPT52	tagged	visualized	cytoplasm,nucleus	
YGR192C	TDH3	tagged	visualized	cytoplasm,nucleus	
YOR319W	HSH49	tagged	visualized	nucleus	
YKR008W	RSC4	tagged	visualized	nucleus	
YBR055C	PRP6	tagged	visualized	cytoplasm,nucleus	
YEL044W	IES6	tagged	visualized	nucleus	
YMR027W	HRT2	tagged	visualized	cytoplasm,nucleus	
YOR052C		tagged	visualized	nucleus	
YKL032C	IXR1	tagged	visualized	nucleus	
YHR058C	MED6	tagged	visualized	cytoplasm,nucleus	
YDR191W	HST4	tagged	visualized	cytoplasm,nucleus	
YPR141C	KAR3	tagged	visualized	nucleus,spindle pole,microtubule	
YDR427W	RPN9	tagged	visualized	nucleus	
YDR059C	UBC5	tagged	visualized	cytoplasm,nucleus	
YNL157W		tagged	visualized	cytoplasm,nucleus	
YFR027W	ECO1	tagged	visualized	cytoplasm,nucleus	
YOR213C	SAS5	tagged	visualized	cytoplasm,nucleus	
YJR132W	NMD5	tagged	visualized	cytoplasm,nucleus	
YGL130W	CEG1	tagged	visualized	cytoplasm,nucleus	
YNL290W	RFC3	tagged	visualized	nucleus	
YNL172W	APC1	tagged	visualized	cytoplasm,nucleus,spindle pole	
YHR156C	LIN1	tagged	visualized	nucleus	
YNL072W	RNH35	tagged	visualized	cytoplasm,nucleus	
YDL188C	PPH22	tagged	visualized	cytoplasm,nucleus	
YBR112C	CYC8	tagged	visualized	nucleus	
YDL164C	CDC9	tagged	visualized	mitochondrion,nucleus	
YER064C		tagged	visualized	nucleus	
YPR017C	DSS4	tagged	visualized	cytoplasm,nucleus	
YBR253W	SRB6	tagged	visualized	nucleus	
YJL035C	TAD2	tagged	visualized	cytoplasm,nucleus	
YER021W	RPN3	tagged	visualized	cytoplasm,nucleus	
YPR118W		tagged	visualized	cytoplasm,nucleus	
YPL014W		tagged	visualized	cytoplasm,nucleus	
YDR087C	RRP1	tagged	visualized	nucleolus,nucleus	
YFR001W	LOC1	tagged	visualized	nucleolus,nucleus	
YDL139C	SCM3	tagged	visualized	cytoplasm,nucleus	
YOR370C	MRS6	tagged	visualized	cytoplasm,nucleus	
YKL074C	MUD2	tagged	visualized	cytoplasm,nucleus	
YBR090C		tagged	visualized	cytoplasm,nucleus	
YOR230W	WTM1	tagged	visualized	nucleus	
YGL029W	CGR1	tagged	visualized	nucleus	
YDL036C		tagged	visualized	cytoplasm,nucleus	
YDR523C	SPS1	tagged	visualized	cytoplasm,nucleus	
YOL094C	RFC4	tagged	visualized	nucleus	
YLR094C	GIS3	tagged	visualized	cytoplasm,nucleus	
YOR160W	MTR10	tagged	visualized	cytoplasm,nucleus	
YGR129W	SYF2	tagged	visualized	nucleus	
YBR156C	SLI15	tagged	visualized	nucleus,microtubule	
YMR239C	RNT1	tagged	visualized	nucleolus,nucleus	
YLR131C	ACE2	tagged	visualized	cytoplasm,nucleus,bud	
YJL056C	ZAP1	tagged	visualized	cytoplasm,nucleus	
YDR280W	RRP45	tagged	visualized	nucleolus,nucleus	
YEL038W	UTR4	tagged	visualized	cytoplasm,nucleus	
YNL230C	ELA1	tagged	visualized	nucleus	
YNL218W	MGS1	tagged	visualized	cytoplasm,nucleus	
YOR006C		tagged	visualized	cytoplasm,nucleus	
YDR044W	HEM13	tagged	visualized	cytoplasm,nucleus	
YPL117C	IDI1	tagged	visualized	cytoplasm,nucleus	
YLR058C	SHM2	tagged	visualized	cytoplasm,nucleus	
YGL227W	VID30	tagged	visualized	cytoplasm,nucleus	
YER164W	CHD1	tagged	visualized	nucleus	
YJR096W		tagged	visualized	cytoplasm,nucleus	
YGL111W	NSA1	tagged	visualized	nucleolus,nucleus	
YCL026C-A	FRM2	tagged	visualized	cytoplasm,nucleus	
YIR011C	STS1	tagged	visualized	cytoplasm,nucleus	
YGR081C		tagged	visualized	nucleolus,nucleus	
YBR275C	RIF1	tagged	visualized	nucleus	
YPL212C	PUS1	tagged	visualized	nucleus	
YHR043C	DOG2	tagged	visualized	cytoplasm,nucleus	
YMR049C	ERB1	tagged	visualized	nucleolus,nucleus	
YLR275W	SMD2	tagged	visualized	nucleus	
YHR034C		tagged	visualized	cytoplasm,nucleus	
