yORF	gene name	GFP tagged?	GFP visualized?	abundance	
YBR122C	MRPL36	tagged	visualized	low signal	
YBR123C	TFC1	tagged	visualized	15800	
YBR125C	PTC4	tagged	visualized	149	
YBR126C	TPS1	tagged	visualized	10900	
YBR127C	VMA2	tagged	visualized	131000	
YBR129C	OPY1	tagged	visualized	1560	
YBR130C	SHE3	tagged	visualized	1010	
YBR131W	CCZ1	tagged	visualized	2870	
YBR132C	AGP2	tagged	visualized	not visualized	
YBR133C	HSL7	tagged	visualized	1180	
YBR135W	CKS1	tagged	visualized	8780	
YBR137W		tagged	visualized	1200	
YBR138C	HDR1	tagged	visualized	195	
YBR139W		tagged	visualized	1420	
YBR140C	IRA1	tagged	visualized	not visualized	
YBR141C		tagged	visualized	623	
YBR142W	MAK5	tagged	visualized	981	
YBR143C	SUP45	tagged	visualized	13100	
YBR145W	ADH5	tagged	visualized	1310	
YBR149W	ARA1	tagged	visualized	30200	
YBR150C	TBS1	tagged	visualized	573	
YBR151W	APD1	tagged	visualized	2000	
YBR152W	SPP381	tagged	visualized	2510	
YBR155W	CNS1	tagged	visualized	672	
YBR156C	SLI15	tagged	visualized	319	
YBR158W	AMN1	tagged	visualized	2020	
YBR159W		tagged	visualized	41900	
YBR160W	CDC28	tagged	visualized	6670	
YBR161W		tagged	visualized	195	
YBR162C	TOS1	tagged	visualized	12300	
YBR162W-A	YSY6	tagged	visualized	846	
YBR163W	DEM1	tagged	visualized	1420	
YBR164C	ARL1	tagged	visualized	5190	
YBR166C	TYR1	tagged	visualized	2180	
YBR167C	POP7	tagged	visualized	low signal	
YBR168W		tagged	visualized	technical problem	
YBR169C	SSE2	tagged	visualized	6300	
YBR170C	NPL4	tagged	visualized	1050	
YBR171W	SEC66	tagged	visualized	7820	
YBR172C	SMY2	tagged	visualized	486	
YBR173C	UMP1	tagged	visualized	2740	
YBR175W	SWD3	tagged	visualized	technical problem	
YBR176W	ECM31	tagged	visualized	1420	
YBR177C	EHT1	tagged	visualized	2550	
YBR179C	FZO1	tagged	visualized	1010	
YBR181C	RPS6B	tagged	visualized	38800	
YBR185C	MBA1	tagged	visualized	2720	
YBR187W		tagged	visualized	2170	
YBR188C	NTC20	tagged	visualized	1430	
YBR189W	RPS9B	tagged	visualized	63300	
YBR191W	RPL21A	tagged	visualized	not visualized	
YBR193C	MED8	tagged	visualized	937	
YBR194W	SOY1	tagged	visualized	low signal	
YBR195C	MSI1	tagged	visualized	149	
YBR196C	PGI1	tagged	visualized	91600	
YBR197C		tagged	visualized	1360	
YBR198C	TAF5	tagged	visualized	14800	
YBR199W	KTR4	tagged	visualized	5240	
YBR200W	BEM1	tagged	visualized	6490	
YBR202W	CDC47	tagged	visualized	166	
YBR205W	KTR3	tagged	visualized	704	
YBR207W	FTH1	tagged	visualized	486	
YBR208C	DUR1,2	tagged	visualized	952	
YBR211C	AME1	tagged	visualized	1630	
