ORF Name	Plate No.	Well No.
YJL050W	GFP(+)03	A8
YPR097W	GFP(+)03	B8
YGL178W	GFP(+)03	C8
YBL076C	GFP(+)03	D8
YIL156W	GFP(+)03	E8
YKR086W	GFP(+)03	F8
YHR154W	GFP(+)03	G8
YGL013C	GFP(+)03	H8
YGR274C	GFP(+)03	A9
YNL267W	GFP(+)03	B9
YML010W	GFP(+)03	C9
YKL157W	GFP(+)03	D9
YDR310C	GFP(+)03	E9
YNL278W	GFP(+)03	F9
YJL098W	GFP(+)03	G9
YLR039C	GFP(+)03	H9
YNL132W	GFP(+)03	A10
YMR261C	GFP(+)03	B10
YDR325W	GFP(+)03	C10
YDR017C	GFP(+)03	D10
YJR132W	GFP(+)03	E10
YCR092C	GFP(+)03	F10
YDL223C	GFP(+)03	G10
YJL084C	GFP(+)03	H10
YLR249W	GFP(+)03	A11
YKL197C	GFP(+)03	B11
YNL327W	GFP(+)03	C11
YER114C	GFP(+)03	D11
YEL061C	GFP(+)03	E11
YKL033W	GFP(+)03	F11
YPL009C	GFP(+)03	G11
YCL024W	GFP(+)03	H11
YOL098C	GFP(+)03	A12
YPL075W	GFP(+)03	B12
YGL207W	GFP(+)03	C12
YIL031W	GFP(+)03	D12
YMR189W	GFP(+)03	E12
YIL128W	GFP(+)03	F12
YGR258C	GFP(+)03	G12
YOL089C	GFP(+)03	H12
YHR082C	GFP(+)04	A1
YLR187W	GFP(+)04	B1
YBL037W	GFP(+)04	C1
YDR060W	GFP(+)04	D1
YGR047C	GFP(+)04	E1
YKL210W	GFP(+)04	F1
YEL055C	GFP(+)04	G1
YGR188C	GFP(+)04	H1
YDL240W	GFP(+)04	A2
YGL201C	GFP(+)04	B2
YLL031C	GFP(+)04	C2
YDR028C	GFP(+)04	D2
YIL125W	GFP(+)04	E2
YOR349W	GFP(+)04	F2
YPL183C	GFP(+)04	G2
YDR495C	GFP(+)04	H2
YDR379W	GFP(+)04	A3
YKL173W	GFP(+)04	B3
YOR127W	GFP(+)04	C3
YOR048C	GFP(+)04	D3
YGL241W	GFP(+)04	E3
YAL035W	GFP(+)04	F3
YPL040C	GFP(+)04	G3
YOL021C	GFP(+)04	H3
YNL123W	GFP(+)04	A4
YHR073W	GFP(+)04	B4
YOR363C	GFP(+)04	C4
YIR002C	GFP(+)04	D4
YDR430C	GFP(+)04	E4
YGR240C	GFP(+)04	F4
YOR346W	GFP(+)04	G4
YBL085W	GFP(+)04	H4
YKL015W	GFP(+)04	A5
YLR442C	GFP(+)04	B5
YBL005W	GFP(+)04	C5
YMR275C	GFP(+)04	D5
YBR084W	GFP(+)04	E5
YAR019C	GFP(+)04	F5
YNL236W	GFP(+)04	G5
YOR160W	GFP(+)04	H5
YMR080C	GFP(+)04	A6
YMR288W	GFP(+)04	B6
YIR023W	GFP(+)04	C6
YNL118C	GFP(+)04	D6
YMR287C	GFP(+)04	E6
YMR125W	GFP(+)04	F6
YBR112C	GFP(+)04	G6
YBR079C	GFP(+)04	H6
YIL130W	GFP(+)04	A7
YOL090W	GFP(+)04	B7
